_1.365,_0.7588,0.33435,1.716,0.18766,0.1467,0.3831,0.8449,_0.7469,0.9075,_1.864,2.154,_0.0745,_1.577,2.266,_0.1606,1.223,_0.2062,_0.26448,2.425,4.235,_0.2423,_1.988,1.611,_0.9822,_2.336,_0.7156,_0.6364,1.891,_0.4032,_0.3697
_0.1951,0.1444,_1.105,0.7606,_0.2255,_2.111,_1.049,_1.95,1.181,1.097,0.5608,_1.969,_0.3832,0.4376,0.7288,1.738,0.879011111111111,0.43834,0.2549,0.9204,0.0796,_0.956,0.7262,_0.2146,0.18084,1.671,_0.142,_0.6268,_0.0373,_1.336,_0.1141
0.5795,0.3856,0.6329,_0.4512,_0.2583,_0.4575,_0.4058,_0.7186,_0.09598,0.1065,0.168,_0.3348,_0.0725,0.2365,0.7645,0.5994,_0.42,_0.7052,0.0631,_0.051,0.7187,0.0378,_0.5804,_0.0256,0.8603,0.3391,_0.0443,_0.9323,_0.5742,_2.302,0.0833
_0.232,_0.0212,0.7377,_0.7645,0.1751,_0.2314,_0.1387,_1.002,0.1691,_0.0848,1.294,0.4256,0.1312,0.278,0.0774,0.5599,_0.3457,0.2214,1.715,_0.0702,0.1376,_0.4397,0.48,_0.1159,0.6387,0.5835,_0.0709,_1.232,_0.4155,_1.65,_1.325
_0.8545,_0.9929,_1.126,_0.9878,_1.176,_1.344,_1.214,_0.5463,_0.92144,_0.4094,0.9304,0.51861,0.8473,1.818,_0.5769,1.13,0.30163,_0.6343,0.1766,1.237,_0.0723444444444445,0.22921,1.624,_1.98,0.8249,0.914,_0.3767,0.149844444444444,_0.2045,_0.3976,_1.754
0.0215,_0.0179,_0.2474,_0.3362,_0.5295,0.0418,_0.2933,0.1779,0.7278,0.3053,0.0846,1.874,0.454611111111111,0.8343,_0.534,1.207,_0.1174,_0.7204,0.5031,_0.0044,0.0683,_0.7963,1.17,_0.8736,_0.2019,0.4688,_1.027,_0.15982,_0.4276,_1.357,_1.403
0.3999,0.6789,0.4672,_0.3683,_0.408444444444444,_1.294,_1.484,0.9212,_1.087,_0.5838,0.1067,1.046,0.3484,0.8377,0.7812,0.5269,0.4231,0.3092,0.7956,0.0888,0.8236,_2.777,_1.073,_1.044,0.1964,0.0337,0.3481,_0.9183,_0.1441,_0.9372,_1.761
0.4348,_0.6249,_0.3864,_1.153,_0.5749,_0.8443,_0.8847,_0.0583,_0.0793,_0.4902,1.413,0.8158,1.735,0.9846,0.878,1.179,_0.0809,0.6565,1.439,0.6273,0.4416,_1.505,_0.8919,_0.629,1.107,0.3538,_0.1339,_0.3801,_0.6647,_2.116,_0.7399
0.4054,_0.0085,0.0085,_0.46253,_0.4247625,_1.642,_1.571,_1.339,_0.80951,_0.9034,_0.2635,_0.1521,_0.719588888888889,0.1409,_0.6539,1.812,0.3114,0.1673,0.480388888888889,2.443,0.5176,_1.226,_0.6596,0.5127,0.1917,_0.2355,1.531,_0.6509,0.109,_1.596,_1.738
_0.3727,0.106,0.8146,_0.8846,_0.3289,_1.461,_1.587,_0.9767,0.2637,_0.4765,0.6823,_0.0409,_0.1598,_0.33913,0.6549,1.259,_0.3909,0.9344,1.326,0.8088,0.8766,_0.4212,_0.2195,_0.2132,0.1995,1.459,0.9313,0.031,0.33443,_1.781,_1.673
_0.4192,_0.2452,0.1949,_0.1252,_0.1061,_2.51,_2.444,_0.0943,0.8415,0.3576,_0.3832,0.0867,0.6804,0.7554,0.6505,0.7649,_0.3186,0.301,0.3166,0.5192,_0.0506,_1.421,_0.1358,_0.2237,_0.8779,0.3835,1.198,0.3623,_0.3673,_1.111,_1.087
0.2724,_0.8202,_0.0719,_1.72,_1.253,_1.45,_1.146,0.1829,0.2067,_0.73,1.017,0.6695,0.6239,0.6047,_1.582,0.2472,1.263,1.047,0.2431,0.2704,0.2787,_0.1328,_0.0407,_0.2677,_0.0516,0.2054,_0.1366,0.1028,0.7288,_1.583,_1.564
_1.206,_0.7759,_0.4977,_1.708,_0.5991,_1.804,_0.8846,_0.5027,0.6213,1.694,1.756,_0.2525,0.8531,0.5777,0.3834,1.522,0.2199,0.9935,1.948,0.8245,1.189,_0.4692,1.243,_0.9674,_0.0288,_0.2424,_0.8817,0.438,1.166,_1.65,_2.293
_0.4482,0.2189,_0.7294,_0.5602,0.5633,_1.081,_2.119,_0.8459,1.583,1.01,0.9825,0.878,1.43,0.854,_0.7197,1.816,0.6257,_0.5045,0.5857,_0.8384,0.3234,_0.434,_0.4932,0.1318,1.022,0.2028,1.747,_0.0263,0.3244,_2.155,_2.138
_0.9861,_0.4853,_0.7506,_0.6343,0.3611,_0.3923,_0.0739,_0.379,_0.5171,1.494,0.5811,0.3488,1.132,1.257,0.8193,0.5399,_0.1018,_0.1037,0.0055,1.119,0.3624,0.5501,1.369,0.4843,0.1357,1.265,0.7507,_0.2617,_1.304,_2.221,_0.6125
_1.119,_0.1162,_0.2875,_0.6605,_1.246,0.3009,0.2279,_0.5039,_0.3437,0.3715,1.033,0.9452,0.0772444444444444,0.6353,0.7422,1.112,_0.2943,_0.4438,0.3186,0.5117,_0.1985,0.152,0.1885,_0.8233,3.278,_0.0159,0.5788,_0.4717,_1.465,_1.688,_1.403
_1.329,_0.3488,0.0432,_0.5155,_0.1793,1.44,0.8567,_0.0031,1.027,_0.2346,0.7636,0.5453,1.407,1.585,0.7364,1.376,0.3622,_0.5996,0.693,0.2349,0.5078,_2.697,1.101,_1.243,0.8291,0.7196,_1.298,_0.6858,_1.156,_1.297,_1.102
_1.234,_0.7514,_0.2716,_0.4706,_0.0105,1.141,1.367,_0.0248,1.024,0.1741,0.941,0.965,1.664,1.448,0.3537,1.433,0.5454,_0.5863,1.204,0.2907,_0.1685,_4.442,0.0631,_1.188,1.121,_0.0265,_1.04,_0.886,_0.9967,_1.013,_0.9982
0.9645,1.025,_1.19,1.079,_0.5896,0.9124,0.662,1.61,0.84904,_0.3687,0.2002,1.533,1.614,1.979,0.4398,_0.2202,1.879,_0.1578,0.3318,_1.097,_0.4893,_0.76211,_1.543,0.1882,1.005,_1.278,_0.2266,0.5426,_0.7278,_0.3719875,_1.467
0.2928,0.3494,0.0749,0.5911,_0.3227,0.5873,0.4303,1.015,0.6909,_0.4539,0.0939,1.335,0.652,1.632,0.979,0.4446,0.3166,_0.5343,0.1588,_0.8403,_0.5073,_0.1695,_0.6544,_0.3716,0.4741,_0.1583,0.1722,0.4254,0.04582,_0.4098,_0.6551
2.261,0.4765,0.3787,1.746,0.5582,1.308,0.2937,1.629,0.3457,_0.2005,_0.32516,_1.748,2.742,2.953,0.0334,_2.075,2.106,_0.6909,1.285,_1.881,_0.40487,_1.54,_1.505,_1.436,_0.163666666666667,_0.8606,_0.2554,_1.482,_1.359,_0.4205,_0.6784
1.481,_0.2692,_0.5346,2.347,0.8312,0.2545,0.2601,0.6843,0.0644,_0.8217,0.9796,_0.4908,2.156,2.284,_1e_04,0.9087,1.293,_1.339,_0.7205,_0.1234,_0.07533,1.154,_0.2825,0.0212,0.7246,_1.565,0.7375,_0.1899,0.5968,1.444,0.15846
_0.6244,_1.566,_1.466,_1.025,_1.084,_0.4491,_1.089,_0.285566666666667,2.533,_0.0435,_1.776,0.1805,2.554,3.073,1.573,3.838,1.134,_1.507,_0.32173,_2.068,_0.9179,_2.292,0.4089,_0.4644,1.769,2.66,1.442,_2.168,_0.0594,0.3631625,0.1889
_1.357,_0.556,0.0354,_1.535,0.5289,2.151,0.6965,2.077,3.386,_0.3035,_2.362,2.381,1.66,1.538,_0.4449,2.101,1.431,_0.4144,_1.266,_0.5388,_0.1166,_1.369,2.099,_0.0168,_0.9712625,_1.469,_1.361,_3.531,_1.678,_1.169,_1.548
_0.5379,0.813,0.894,_0.9741,0.01013,_0.2826,0.0401,1.127,2.067,_0.4521,_2.438,1.566,_0.07862,_0.04465,_0.4209,1.001,0.9938,0.0995,_0.09162,_2.532,_0.4527,_0.2545,_0.8248,_0.40995,0.1023,0.2134,_0.4103,_1.237,_2.026,0.8248,1.081
2.053,_0.9498,_1.03,1.842,0.037,_0.7951,_0.4624,_1.469,0.9949,0.4328,0.6732,2.662,2.272,2.473,0.9313,0.0902,0.3342,_1.183,1.59,1.383,1.567,0.8987,0.585,_1.424,_1.967,_0.7365,_1.621,_2.41,_1.159,_0.1117,0.3904
1.935,_0.064,_0.4629,0.3552,_0.1960875,_0.0504,_0.3414,_1.246,0.4276,_0.2018,0.8752,0.0879,1.335,2.1,_0.074,1.258,_0.031,_0.0596,_0.43227,_0.148,_0.4873,_0.6206,_1.111,0.9534,0.65259,0.39061,0.3492,1.098,0.1878,0.2094,_0.6527
2.835,0.5594,0.3708,2.438,0.4135,0.073,_0.3589,_0.9398,1.51,_0.2667,1.734,1.261,3.037,2.598,0.7435,1.979,0.119,0.1518,_0.38697,_0.2018,_1.017,_2.093,_0.5515,0.6066,0.191611111111111,_0.0852,1,1.672,0.7497,0.7363,0.3169
2.527,0.6143,0.5422,2.037,_0.0481,_0.2353,_0.3804,_2.656,1.407,_0.1501,1.888,1.106,2.869,3.83,0.5362,1.845,_0.628,0.3341,1.422,_0.0229,0.54,_1.009,0.5181,1.004,0.02957,_0.4772,0.4388,1.702,0.395,0.851,_0.0729
0.105266666666667,_0.0295,1.106,0.8251,0.3742,0.8495,0.7625,0.1331,0.2193,_0.1244,0.5863,0.127,_0.9267,3.851,_0.3914,0.5584,_0.9013,0.5041,_0.6802,_0.5461,_0.7813,_1.485,_0.8374,_0.0347,_2.279,0.3418,0.498,1.36,_0.264,0.7652,1.482
0.544,_0.1261,_0.6036,4.861,0.681522222222222,_0.2615,_0.0113,0.1182,0.4373,_0.7472,0.3476,3.121,0.5638,1.464,_0.0182,0.1705,_0.1406,_0.9317,_0.535,_0.0417,_0.3704,_0.2849,_0.6045,_0.04321,_0.1462,_0.01,1.3,1.215,_1.19,1.095,0.4954
0.5353,0.1731,_0.6196,2.343,0.81496,_0.276,_0.3697,0.39483,1.766,0.3597,_1.458,1.11,1.26432222222222,1.501,1.363,1.012,_0.2105,0.4584,_0.738475,_0.8794,_1.087,_1.99,0.1258,0.5867,_1.547,0.0716,_1.401,_0.4502,_1.412,3.289,2.728
0.3648,_0.2468,_0.4761,3.071,2.742,_0.4638,_0.7358,1.323,1.432,0.4436,_2.316,1.055,2.061,1.684,1.562,3.054,_0.3641,0.5601,_0.1969,_1.919,_1.732,_1.244,0.5999,1.541,_2.393,_0.4614,_1.94,_0.7632,_1.517,3.366,2.73
0.0175,0.43,0.046,2.646,1.474,0.4288,0.1125,_0.3675,2.039,0.3457,_0.7142,0.5276,2.904,2.502,0.6288,_0.432,1.718,_0.4454,_0.688788888888889,_0.8565,_1.742,_0.0548,_1.207,_0.6443,0.112,_0.1778,_0.9025,_1.01,_2.223,0.8649,0.2824
0.1136,0.4615,0.227,2.009,1.936,0.4223,_0.2058,_0.4452,1.938,0.4597,_0.4118,0.4671,2.813,2.353,1.157,_0.3013,1.524,_0.4245,_0.7998,_0.9583,_1.95,_0.1017,_1.722,_0.5789,0.5466,_0.3129,_0.9748,_0.9249,_0.9236,1.128,0.8451
0.2904,0.966,1.269,0.6961,0.79579,0.6271,0.7337,_0.0512,1.005,_0.8004,_0.0632,0.8332,0.6719,0.803,0.3236,0.4143,1.426,_0.9905,_0.861133333333333,_0.691,_1.67,_0.3903,_0.2846,_0.2053,1.043,0.4798,_0.4059,_0.3229,0.2612,1.049,0.842
0.0499,0.9307,1.039,0.9765,1.661,0.6563,0.534,_0.1483,0.4695,_0.1277,_0.1684,0.2646,0.8078,0.477,1.129,0.1307,1.559,_0.4266,_1.216,_0.9331,_1.308,_0.0494,_0.7381,0.0156,_0.0905,0.1525,_0.9619,_0.5533,_0.4073,1.13,0.9543
1.25,0.5826,_0.7072,2.061,1.139,_1.001,0.5685,0.5712,1.194,0.687,_0.4783,0.9787,0.2925,0.4638,0.9736,_0.40048,0.5419,_0.525022222222222,_0.304,_1.103,_0.694,0.2734,0.535,0.9787,_1.248,_0.46,0.8061,_0.0533,_0.7815,0.65947,1.612
0.0209,1.203,0.623,1.327,0.5301,0.426,0.2013,_0.3203,_1.865,_0.4414,1.882,_0.4801,2.458,2.016,1.001,2.388,0.2574,1.774,0.6747,_1.599,_6.262,_1.82,0.0397,_1.748,_2.523,_3.527,_1.363,0.243,1.228,1.309,0.8885
1.429,1.627,2.211,1.165,0.405566666666667,0.5787,0.7289,1.37,_3.52,_2.266,_0.4295,0.771,0.849411111111111,1.08,0.9744,0.6241,0.7562,0.3348,_0.0896111111111111,0.1827,0.1961,_2.069,0.6332,_0.1292,_1.328,_2.694,_1.157,1.615,0.3297,0.4004,0.4612
2.696,2.182,0.6194,2.37,0.8574,_0.6606,_0.6837,_0.1493,_0.7413,_1.168,0.7047,0.53963,2.439,2.176,0.3686,1.525,_0.4784,_0.4488,0.9948,_1.478,_1.352,_2.134,_2.982,_1.628,_0.83071,_2.558,_1.485,_1.208,_1.106,2.635,1.531
_0.3168,0.8283,0.4826,0.2125,_0.1466,0.8945,0.7757,_1.12,_2.615,_0.913,_0.7098,0.9196,2.529,2.782,_0.1808,2.228,_0.0171,0.7778,1.637,_0.118,_0.0188,_0.7787,_0.7196,_0.7162,_1.902,_1.829,_0.4083,_0.433,_2.152,0.5009,0.1301
0.6961,1.023,1.233,1.388,0.275466666666667,0.4733,0.2796,_0.8572,0.10208,_0.8599,_0.8026,2.098,1.879,2.641,_0.2134,0.9746,0.7615,_0.655,0.8616,_1.154,_0.3005,_0.07517,0.3792,_1.176,_1.522,_1.986,_1.962,_0.2795,_1.124,_0.36839,_1.082
0.5481,0.3245,1.801,1.204,0.7721,1.112,0.7949,1.223,_1.319,0.8663,_0.09523,2.029,2.137,2.807,_0.8991,1.086,_0.09885,0.229,_0.0698,_1.198,_0.17066,_0.7039,_0.9827,_0.5227,_1.383,_1.712,_1.254,_1.074,_2.222,_0.4141,0.1247
1.329,2.177,2.176,0.1068,0.678977777777778,0.4058,0.5062,_0.1841,_0.2865,_0.7792,0.1893,0.0691,0.607144444444444,1.181,0.7769,_0.4607,1.024,_0.123,0.290977777777778,_0.8446,_0.9093,_0.5613,0.3631,_1.061,_1.149,_0.7619,_1.611,_0.2612,_0.7326,0.2282,0.117
1.614,1.724,0.8451,0.4977,1.261,0.5843,0.67235,0.5836,_0.7202,_0.3153,0.3907,0.4161,1.194,0.48522,_0.2224,0.824,_0.1584,0.2507,1.821,_1.05,_0.3543,0.0416,_0.3725,_0.5892,_1.183,_0.4398,_1.254,_0.6121,_0.9146,_1.079,_0.9326
0.14,_0.3628,_1.445,2.763,0.26622,1.223,1.422,_0.9447,1.637,1.867,0.2524,0.6918,2.706,3.349,2.742,3.45,0.4292,_0.3181,_0.1891,6e_04,1.052,0.9633,_0.8375,_0.6576,_4.299,_1.317,_1.653,_0.2575,_3.109,0.2531,_0.2153
_0.3019,_3.141,_2.26,2.528,0.6055,1.483,1.525,_1.244,1.707,1.638,_1.72,0.3488,2.91,3.076,2.621,3.893,_0.0548,_0.028,1.281,0.2019,_0.3837,_0.2084,_0.8741,_1.342,_1.74243333333333,_1.331,_2.135,_0.0355,_2.743,_0.9589,_0.6604
_1.09,0.2459,_0.3474,1.745,_0.0529111111111111,0.5391,0.4877,0.6563,_0.07654,_0.8265,1.059,0.3184,0.5741,0.8364,1.813,1.806,1.452,0.6713,_0.8107,_1.561,0.175733333333333,0.1161,1.14,_0.821,_1.852,_0.843,_1.285,_1.416,_0.5231,0.3957,_0.3361
0.5673,_2.178,_0.5611,_1.804,_0.447,_1.063,0.391,2.654,0.713,_0.3273,_1.613,0.4866,1.296,2.896,2.122,2.412,2.51,_0.3109,_0.7142,0.1805,0.0244,0.0284,0.1353,2.064,_1.136,_0.12133,_0.0666,_1.284,_0.7345,_0.4119,0.5145
_1.028,_0.6703,_1.008,_0.5544,_0.3278,0.288,_0.0384,0.2248,_0.0685,0.651,0.9293,0.5685,1.913,1.698,0.6958,2.076,0.0716,0.4957,_0.1064,1.611,_0.229,0.0917,0.0539,_0.6485,0.2938375,_0.356,0.1729,0.6553,1.056,_0.5689,_0.4809
1.052,_2.231,_2.19,0.4429,0.4072,2.054,1.458,2.06,_2.826,_1.457,0.6423,0.6038,2.383,1.833,2.152,0.9093,0.3338,_0.5417,_1.47,0.3019,_0.9129,_1.742,_1.184,0.3366,3.474,1.05015,0.5484,1.478,_0.0378,_0.0623,_0.2788
0.4334,_1.902,_2.429,_0.1001,0.0084,0.7198,0.6818,0.8646,_2.193,_0.801,0.263,0.5952,0.9893,1.657,1.395,0.8012,_0.205,_0.3394,_1.417,0.6731,_0.6629,_0.3224,_0.3673,1.269,2.781,0.2011,0.0369,1.69,0.7942,0.1974,0.6823
1.247,_0.5627,0.44978,1.224,0.1649,1.872,0.958,2.269,0.23334,_3.377,0.7361,1.374,2.503,2.731,1.845,0.8159,0.2328,0.1321,_3.592,_0.2434,_0.2018,_1.0857,_2.215,0.1013,4.705,_3.62,_0.188,_0.0704,_0.236,_0.3222,_0.7777
_0.5721,0.1051,0.0342,0.32556,0.4431625,_0.6451,_1.051,_0.00451999999999999,0.11714,_0.1399,1.534,1.413,2.849,1.04,0.5399,0.3887,0.0543,0.4302,_0.36666,_1.057,0.6373,0.963,_0.0793,_0.039,2.041,_0.6256,_0.5022,1.113,_0.7371,_0.227,_0.5141
_1.509,_0.4556,0.1751,_0.3137875,_0.0641375,0.1092,0.0458,0.9153,_1.509,0.9977,1.636,1.355,0.73513,1.946,0.2406,1.105,_0.4988,0.7513,_0.560344444444444,0.029,_0.7607,_0.511,_0.7254,0.3465,3.612,_0.1362,1.048,2.062,_0.0168,_1.261,_0.0368
_1.347,_0.2958,_0.1447,_0.0089,_0.216944444444444,0.2174,0.47,0.0714,_4.254,0.4235,1.728,0.8844,1.346,1.208,0.1836,1.148,_0.3169,_0.1777,_0.5399,0.5513,0,_0.4806,_0.6603,0.728,2.508,_0.2405,1.228,1.935,_0.3968,_0.291,0.0032
_0.9132,0.699,0.9686,0.1588,_0.4852,0.3118,0.3259,_0.3608,0.0256,_0.3513,_0.219,2.823,1.333,2.081,0.9026,1.07,0.1588,_1.764,0.5662,_0.0053,0.0166,0.6258,_0.1196,_0.1396,1.528,0.1884,_0.0981,0.4445,_0.4491,1.115,0.4175
_0.4355,0.9447,_0.6701,_0.6613,0.0073375,_0.4277,_0.078,0.3501,_0.5159,_0.4287,0.6302,0.5532,2.934,2.159,0.1998,0.2198,_0.2407,_0.8777,_1.068,_0.3771,0.0607,_0.0201,_0.3633,_0.4117,0.4055,0.8218,0.1933,0.5925,0.3523,0.13707,0.9327
0.3777,_0.0043,0.4493,0.25678,0.28198,_0.4779,0.0762,0.4876,_0.2297,0.1468,0.0635,0.7409,1.56,1.891,0.5523,0.464,_0.3583,_0.5279,_0.58815,_0.4538,_0.3279,_0.669,_0.4196,_0.1712,0.3799,0.7164,1.165,1.637,0.8104,0.9009,_0.4584
0.4161,_0.8174,_0.7682,0.4756,0.1471,1.579,1.146,_0.5623,0.0378,_0.408,_0.3199,_0.3666,0.4194,0.7261,0.3826,_0.6023,0.4536,_0.4921,0.1476,0.8174,0.3254,0.397,0.4416,_1.33,3.441,0.3142,_0.3971,0.1032,0.5929,0.1069,0.0602
_1.29,_0.8266,_0.7402,0.04603,_0.5072,2.034,1.736,1.21603,3.037,_0.0506,_4.163,_2.774,4.885,5.152,3.431,4.796,4.018,_1.11,_2.583,_1.718,_1.287,_1.185,_1.753,_0.2346,0.2681,0.4888,_2.15,_0.7685,_0.4733,0.0224,_0.669
_0.1197,_0.3932,0.1801,0.7854,0.14912,1.2,0.2808,0.735,0.984,_0.3265,_2.087,_0.02,1.218,2.197,_0.2994,1.858,1.86,_0.7571,_1.083,0.138,_1.269,_0.10515,_0.2078,0.13058,_0.3462,0.2428,0.8715,0.693,0.4614,_0.6223,_0.082
_0.2757,_0.442,0.0278,1.724,_0.2772,0.9522,1.564,1.173,0.7329,_0.1921,_0.9795,1.976,0.4104,0.6333,1.507,0.7228,1.547,_1.128,_1.188,_1.457,_0.7951,0.1333,_0.1322,0.0839,_0.6616,0.2653,0.2678,0.2576,_0.0737,_0.0525625,_0.4106
_0.1305,_0.2599,_0.0326,0.5942,0.0466125,0.5611,0.4907,1.203,_0.1389,0.295,_2.965,0.4219,0.9693,2.589,0.136,0.6576,0.6381,_0.35112,_0.52197,_2.225,_1.397,0.389,_0.0337,_0.058,0.4349,0.2576,0.702,0.8597,_0.9293,0.0887,0.5704
0.3634,0.205,_0.3733,0.3166,0.32932,0.7868,0.5499,1.106,0.5251,0.1691,_0.325,0.153,1.038,1.365,_0.1718,_0.3856,0.0722,_0.9945,_1.32,_2.616,_3.087,_0.297,0.7346,1.206,_0.7454,_0.0741,0.4353,0.3967,_0.037,0.603,1.306
_0.8122,_3.89,_3.193,1.265,0.0197,2.949,1.372,0.9855,1.789,0.3304,_0.3451,1.677,2.612,2.325,1.028,1.114,0.5714,_0.5283,_0.7878,_2.693,_3.507,_0.0672,0.26313,_0.5451,_0.7797,0.0478,1.078,2.069,0.5755,_0.1075,0.1588
_0.7923,_4.519,_4.415,2.945,0.2687,3.08,2.443,0.8703,2.649,1.151,_0.51475,2.268,3.474,3.718,1.159,1.013,0.8058,_0.4194,_2.233,_2.499,_2.956,_0.51314,_0.6259,1.066,_1.767,_0.354,1.677,2.091,1.767,0.3577,0.1354
1.268,_1.484,_1.696,_1.951,_1.433,4.702,5.872,3.917,1.907,_2.423,_1.334,1.816,3.006,2.789,1.568,1.236,3.417,_0.5836,_0.0792,_2.656,_3.406,1.161,1.46,_1.695,_0.5923,_0.158,_1.263,_3.69,0.5336,0.5709,0.4462
0.7539,_1.348,_1.119,_1.066,_0.8128,2.622,3.111,2.021,1.095,_1.315,_0.7588,1.353,2.45,2.009,1.334,0.5544,1.726,_1.223,_0.1137,_1.814,_1.653,0.271,1.019,_1.341,_0.4536,_0.5427,_0.6633,_0.8117,0.5411,0.5204,0.2633
0.2743,_0.4402,0.1056,_0.8499,0.0279,1.649,1.749,0.6924,0.6328,_0.0447,_0.4664,1.491,0.9491,1.687,_0.1931,0.228,1.073,_0.1489,_0.2862,_0.0328,_0.6874,_0.1533,_0.2393,0.5057,1.009,0.3917,_0.5244,0.0959,_0.0807,_0.1337,_0.2033
0.1573,0.476,_0.3214,0.42854,_1.384,2.932,3.327,1.574,0.4381,0.4321,_0.0558,0.6323,1.871,3.078,_0.2168,0.5778,_0.7113,0.609,_1.567,_0.8872,_0.3827,_0.9968,1.272,0.8698,_0.1581,0.341,_0.4764,0.0578,0.4819,_0.45418,_1.085
0.3413,0.7855,1.188,0.87088,_1.458,3.037,1.22424,1.903,0.66625,_0.631,0.7887,1.143,2.234,_0.2096,_0.56,0.6875,_0.6508,_0.0119,_0.9427,_0.8262,0.2239,_0.579166666666667,0.935,_0.7461,0.4458,_0.2029,_0.4378,0.2443,2.204,_0.52175,_0.6307
_0.6807,0.8699,0.6655,_0.8683,_1.46,3.086,1.827,1.415,_1.027,_0.3532,0.4584,1.859,2.251,3.091,_0.1373,1.535,_1.063,0.0726,_1.719,1.472,0.7144,_1.522,0.6204,_1.152,0.218928571428571,0.0225,_0.9638,_0.1069,0.8884,_0.8924,_0.8238
_0.8659,_1.144,0.2961,_0.594,_0.8409,2.568,1.82,0.3666,0.0061,_0.3411,0.4467,0.772477777777778,2.748,1.935,_0.4222,_0.3348,0.66992,_1.195,_1.05,_0.0053,_0.79886,_0.430144444444444,0.8836,_0.2442,1.734,_0.8349,_0.1938,0.1179,0.05641,1.264,0.4653
0.0768,_0.2529,0.4174,_0.7447,_0.3798,0.7891,0.2747,2.768,_1.267,_1.696,1.194,_0.5988,2.152,1.716,0.2263,0.3671,0.4532,_0.5824,_0.38417,_0.9175,_1.813,_0.2563,1.504,0.3184,0.319077777777778,0.4173,1.34,1.343,1.291,1.044,0.6746
_0.2602,_0.0193,_0.7649,0.1512,_0.7102,0.7974,0.8273,0.9461,_1.276,_0.5433,1.349,1.008,1.73,1.461,_0.0876,0.7654,0.4475,_0.3481,_1.559,_1.117,_1.325,_0.9819,1.94,0.3177,0.3692,_0.6581,0.107,1.384,0.2173,1.378,1.236
_0.25839,_1.456,_0.7022,_0.3574,_0.8043,1.305,1.133,2.015,_0.7998,0.0196,0.5462,_1.079,1.793,1.781,_0.1796,_0.9164,_1.223,_0.2701,_0.30369,_0.6406,0.0278,_0.2791,2.628,_0.1129,_0.3213,0.76935,_0.0538,1.309,2.642,0.341,0.3225
_0.7895,_0.4211,0.1477,0.8713,_0.0039,1.147,0.5855,0.0348,0.8343,0.6509,0.3263,0.2445,1.287,0.4103,_0.2198,0.9734,0.6463,_1.168,_2.242,_0.3676,_0.3115,_0.7992,0.7148,_0.2046,0.0782666666666666,0.7989,0.6895,_0.2184,0.044,_0.4993,_0.2649
_0.4325,_0.2654,0.3165,_0.0344,_0.298,0.2886,0.8922,0.3488,0.2837,_0.0869,_0.4198,0.2473,2.718,2.188,0.6835,0.2909,0.8749,0.2414,_0.189,0.055,2.296,_1.416,0.0875,0.6054,1.176,0.5001,_0.5172,0.229,0.1364,_0.4164,_0.1393
_0.5727,_0.7305,_1.547,_0.8928,_1.383,1.165,1.379,_2.173,_0.9328,_0.9254,_3.942,0.7446,1.798,1.753,0.0354,0.0018,2.025,0.0372,_0.5658,1.731,1.035,0.9292,0.366,0.8627,_0.7256,0.6381,0.7201,1.812,0.0633,1.039,0.9532
0.0957,_1.317,_1.471,_0.5902,_0.6827,0.5598,0.3563,1.121,_0.251,_0.5584,_3.985,0.9752,2.559,2.575,1.228,0.4054,0.7617,0.4009,_0.4852,1.882,1.619,0.8761,0.0379,0.17942,_0.3742,0.6418,_0.4451,0.8829,_0.0975,_0.6044,_0.4395
_0.0594,_1.51,_1.101,_0.4164,_0.899,0.2324,0.4294,0.9702,_0.3775,_0.6311,_3.216,1.108,2.217,2.485,1.054,0.4305,0.6045,0.279,0.1322,1.962,1.393,0.6348,_0.378,_0.1603,_0.3496,0.2981,_0.7053,0.7794,_0.4729,_1.296,_0.1075
0.0254,0.2469,0.484,0.4189,_0.1501,0.5017,0.6393,0.3479,_1.121,_0.5624,_3.699,_0.5612,1.024,0.8885,_0.0283,_0.2435,0.5875,_0.4772,_0.4772,1.547,1.086,0.5789,_0.6954,0.2649,_0.177,_0.1576,_0.4681,_0.0414,_0.5925,0.7085,0.747
0.5132,_0.3935,_0.1692,_0.1023,_1.647,0.8045,_0.1122,1.689,0.27573,0.581,_5.335,3.192,2.45,3.053,1.851,1.144,1.137,_1.566,_1.071,0.1238,0.7528,_0.04587,0.6856,_0.2952,0.1053,0.1519,0.6616,1.112,_0.4088,_0.0262,_0.4251
_0.10314,_0.579,_0.5667,0.2621,_0.5664,0.8257,0.1192,1.276,_0.2436,0.9527,_1.22,3.793,2.124,3.983,2.055,1.336,1.338,_0.56491,_3.017,_0.0177,0.8303,_1.905,_0.6141,0.181,0.7558,0.3761,0.763,0.9446,_0.3073,_0.0455,0.0772
_1.064,_0.8049,_0.6413,_0.145,_1.329,0.7699,0.5874,0.6099,_0.0618,1.008,_2.706,_0.1746,0.6326,2.536,1.044,_0.1895,0.7151,_0.2531,_1.06,0.3485,_0.128,_0.5452,_0.5545,0.0216,0.4252,_0.7735,0.1312,1.507,1.135,_0.7153,_0.23
_0.1568,_0.2836,_0.6892,_0.3823,_0.7665,_0.4355,_0.5422,1.069,_0.481,_0.22482,1.975,0.4215,1.7,0.5429,0.5812,1.994,1.177,0.3438,_1.531,_1.096,_0.1672,0.7736,_0.1344,_0.3652,0.5053,0.36877,0.5116,_0.4282,_0.4288,0.9735,0.805
